"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","028_A3","033B","033E-replaced","033_A1","042B","042E","042_A1","054_V2","055_V1","067_A5","115_A2","161_A2","408_A1","442B","442E","442_A3","445_A2","447_A2","447_A3","489_A1","530B","530E","530_A2","552_A1","606_A3"
"group_3076","","hypothetical protein","3","3","1","1","2720","1","332","","","","","","","","","","","","","","","","","","","","","","L_00807___84021","L_00822___87954","L_00785___20734","",""
"group_3077","","hypothetical protein","3","3","1","1","2719","1","331","","","","","","","","","","","","","","","","","","","","","","L_00808___84023","L_00823___87956","L_00786___20736","",""
"group_3078","","Phage-related minor tail protein","3","3","1","1","864","1","209","","","","","","","","","","","","","","","","","","","","","","L_01162___84751","L_01185___88699","L_01134___21452","",""
"group_3079","","hypothetical protein","3","3","1","1","863","1","208","","","","","","","","","","","","","","","","","","","","","","L_01163___84753","L_01186___88701","L_01135___21454","",""
"group_3080","","hypothetical protein","3","3","1","1","654","1","520","","","","","","","","","","","","","","","","","","","","","","L_01188___84805","L_01210___88751","L_01160___21506","",""
"group_3081","","hypothetical protein","3","3","1","1","655","1","521","","","","","","","","","","","","","","","","","","","","","","L_01189___84807","L_01211___88753","L_01161___21508","",""
"group_3082","","modification methylase","3","3","1","1","656","1","522","","","","","","","","","","","","","","","","","","","","","","L_01190___84809","L_01212___88755","L_01162___21510","",""
"group_3083","","putative methylase","3","3","1","1","2487","3","16","","","","","","","","","","","","","","","","","","","","","","L_01780___86035","L_01819___90014","L_01753___22738","",""
"group_837	group_838	group_839","","terminase	terminase	terminase","2	1	3","2	1	3","1	1	1","1	1	1","832	831	2648","1	1	1","252	253	254","","","","","","","","L_01616___30266","","","L_01524___38104	L_01525___38106","","","","","","","L_01585___50218	L_01586___50220	L_01587___50222","","","","","","","",""
"group_841	group_840	group_843	group_842","","hypothetical protein	hypothetical protein	hypothetical protein	hypothetical protein","1	3	1	1","1	3	1	1","1	1	1	1","1	1	1	1","893	3092	3089	892","1	1	1	1","197	693	689	196","","","","","","","","L_01647___30330","","","L_01553___38162	L_01489___38033	L_01552___38160","","","","","","","L_01550___50147	L_01549___50145","","","","","","","",""
"group_849	group_848	group_852	group_850	group_851	group_847","hsdR	hsdR	hsdR","Type-1 restriction enzyme R protein	hypothetical protein	hypothetical protein	Type-1 restriction enzyme R protein	hypothetical protein	Type-1 restriction enzyme R protein","3	1	1	2	2	2","3	1	1	2	2	2","1	1	1	1	1	1","1	1	1	1	1	1","1103	1102	1106	1105	1104	1208","34	34	34	34	34	34","12	11	13	3	4	10","","","","","","","","","","","L_00617___36235	L_00618___36237","L_00534___40460","","L_01452___10558	L_01451___10556	L_01450___10554","","","","","","","","","","","L_01379___14171	L_01380___14173","L_00376___52114	L_00375___52112	L_00377___52116"
"group_1456	group_1457	group_1455","","peptidase	peptidase	peptidase","2	1	2","2	1	2","1	1	1","1	1	1","837	836	838","1	1	1","401	402	247","","","","","","","","L_01620___30274","","","L_01519___38094	L_01520___38096","","","","","","","L_01580___50208	L_01579___50206","","","","","","","",""
"group_1638	group_1637","","hypothetical protein	hypothetical protein","1	2","1	2","1	1","1	1","1557	1378","4	4","1	2","","L_00521___24022	L_00520___24020","","","","","","","","","","","L_00405___43953","","","","","","","","","","","","",""
"group_1746	group_1747","","ABC transporter	ABC transporter","2	1","2	1","1	1","1	1","3282	3301","1	1","791	792","","L_00904___24814","","","","","","","","","","","L_00778___44725	L_00777___44723","","","","","","","","","","","","",""
"group_2125	group_2124","","hypothetical protein	hypothetical protein","2	1","2	1","1	1","1	1","1007	1006","1	1","502	491","","","","","","","","","","","L_01622___38303	L_01621___38301","","","","","","","","","","","","","","L_00381___12113",""
"group_2273","","hypothetical protein","2","2","1","1","2798","1","12","","L_00876___24758","","","","","","","","","","","L_00750___44669","","","","","","","","","","","","",""
"group_2522","","hypothetical protein","2","2","1","1","1980","123","4","","","","","","","","","","","L_00080___35131","","","","","","","","L_01200___92720","","","","","","",""
"group_2523","","hypothetical protein","2","2","1","1","577","1","595","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","","","","","","","","","","L_01025___37074","L_00958___41334","","","","","","","","","","","","","",""
"group_2526","","repressor","2","2","1","1","2656","1","262","","","","","","","","","","","L_01533___38122","","","","","","","L_01594___50236","","","","","","","",""
"group_2527","","phage integrase family protein","2","2","1","1","3080","1","244","","","","","","","","","","","L_01545___38146","","","","","","","L_01605___50258","","","","","","","",""
"group_2528","","hypothetical protein","2","2","1","1","886","1","446","","","","","","","","","","","L_01558___38172","","","","","","","","","","","","","","L_00319___11986",""
"group_2529","","hypothetical protein","2","2","1","1","817","1","470","","","","","","","","","","","L_01601___38260","","","","","","","","","","","","","","L_00355___12061",""
"group_2530","","hypothetical protein","2","2","1","1","815","1","468","","","","","","","","","","","L_01603___38264","","","","","","","","","","","","","","L_00357___12065",""
"group_2531","thyX","thymidylate synthase, flavin-dependent","2","2","1","1","774","1","466","","","","","","","","","","","L_01605___38268","","","","","","","","","","","","","","L_00360___12071",""
"group_2532","","hypothetical protein","2","2","1","1","780","1","562","","","","","","","","","","","L_01610___38278","","","","","","","","","","","","","","L_00364___12079",""
"group_2533","","hypothetical protein","2","2","1","1","795","1","508","","","","","","","","","","","L_01616___38291","","","","","","","","","","","","","","L_00375___12101",""
"group_2534","","hypothetical protein","2","2","1","1","794","1","507","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","","","","","","","","","","L_01617___38293","","","","","","","","","","","","","","L_00376___12103",""
"rlpA_2","","rare lipoprotein A family protein","2","2","1","1","1012","1","497","","","","","","","","","","","L_01626___38311","","","","","","","","","","","","","","L_00385___12121",""
"group_2549	group_2548","","hypothetical protein	hypothetical protein","2	2","2	2","1	1","1	1","2867	2837","1	1","49	90","","","","","","","","","","","","","","","","","","","","","","","","","L_01596___14619	L_01624___14676","L_00140___51628	L_00110___51567"
"group_2569","","hypothetical protein","2","2","1","1","1558","4","3","","L_00522___24024","","","","","","","","","","","L_00407___43957","","","","","","","","","","","","",""
"group_2570","","hypothetical protein","2","2","1","1","1559","4","4","","L_00523___24026","","","","","","","","","","","L_00408___43959","","","","","","","","","","","","",""
"group_2571","","hypothetical protein","2","2","1","1","1560","4","5","","L_00524___24028","","","","","","","","","","","L_00409___43961","","","","","","","","","","","","",""
"group_2572","","hypothetical protein","2","2","1","1","1561","4","6","","L_00525___24030","","","","","","","","","","","L_00410___43963","","","","","","","","","","","","",""
"group_2573","","helix-turn-helix domain protein","2","2","1","1","1562","4","7","","L_00526___24032","","","","","","","","","","","L_00411___43965","","","","","","","","","","","","",""
"group_2574","","prophage CP4-57 regulatory protein AlpA","2","2","1","1","1563","4","8","","L_00527___24034","","","","","","","","","","","L_00412___43967","","","","","","","","","","","","",""
"group_2575","","Acetyltransferase (GNAT) family protein","2","2","1","1","1549","4","27","","L_00529___24038","","","","","","","","","","","L_00414___43971","","","","","","","","","","","","",""
"group_2576","","hypothetical protein","2","2","1","1","1548","4","28","","L_00530___24040","","","","","","","","","","","L_00415___43973","","","","","","","","","","","","",""
"group_2577","","hypothetical protein","2","2","1","1","1547","4","29","","L_00531___24042","","","","","","","","","","","L_00416___43975","","","","","","","","","","","","",""
"group_2578","","phage integrase family protein","2","2","1","1","1546","4","30","","L_00532___24044","","","","","","","","","","","L_00417___43977","","","","","","","","","","","","",""
"group_2582","","hypothetical protein","2","2","1","1","1089","6","18","","L_00619___24226","","","","","","","","","","","L_00501___44153","","","","","","","","","","","","",""
"group_2583","","hypothetical protein","2","2","1","1","1088","6","17","","L_00620___24228","","","","","","","","","","","L_00502___44155","","","","","","","","","","","","",""
"group_2584","","hypothetical protein","2","2","1","1","1091","6","16","","L_00621___24230","","","","","","","","","","","L_00503___44157","","","","","","","","","","","","",""
"group_2585","","hypothetical protein","2","2","1","1","1092","6","15","","L_00622___24232","","","","","","","","","","","L_00504___44159","","","","","","","","","","","","",""
"group_2586","","PIN domain protein","2","2","1","1","1093","6","14","","L_00623___24234","","","","","","","","","","","L_00505___44161","","","","","","","","","","","","",""
"group_2596","","hypothetical protein","2","2","1","1","2797","1","11","","L_00875___24756","","","","","","","","","","","L_00749___44667","","","","","","","","","","","","",""
"group_2607","","hypothetical protein","2","2","1","1","3149","1","802","","L_00894___24794","","","","","","","","","","","L_00767___44703","","","","","","","","","","","","",""
"group_2608","","hypothetical protein","2","2","1","1","3150","1","801","","L_00895___24796","","","","","","","","","","","L_00768___44705","","","","","","","","","","","","",""
"group_2609","","hypothetical protein","2","2","1","1","3308","1","799","","L_00897___24800","","","","","","","","","","","L_00770___44709","","","","","","","","","","","","",""
"group_2610","","hypothetical protein","2","2","1","1","3307","1","798","","L_00898___24802","","","","","","","","","","","L_00771___44711","","","","","","","","","","","","",""
"group_2611","traC","DNA primase TraC","2","2","1","1","3306","1","797","","L_00899___24804","","","","","","","","","","","L_00772___44713","","","","","","","","","","","","",""
"group_2612","","hypothetical protein","2","2","1","1","3305","1","796","","L_00900___24806","","","","","","","","","","","L_00773___44715","","","","","","","","","","","","",""
"group_2613","","hypothetical protein","2","2","1","1","3304","1","795","","L_00901___24808","","","","","","","","","","","L_00774___44717","","","","","","","","","","","","",""
"group_2614","","cupin","2","2","1","1","3303","1","794","","L_00902___24810","","","","","","","","","","","L_00775___44719","","","","","","","","","","","","",""
"group_2615","","transporter","2","2","1","1","3302","1","793","","L_00903___24812","","","","","","","","","","","L_00776___44721","","","","","","","","","","","","",""
"group_2616","","hypothetical protein","2","2","1","1","3283","1","790","","L_00905___24816","","","","","","","","","","","L_00779___44727","","","","","","","","","","","","",""
"group_2617","","hypothetical protein","2","2","1","1","3284","1","789","","L_00906___24818","","","","","","","","","","","L_00780___44729","","","","","","","","","","","","",""
"group_2643","","hypothetical protein","2","2","1","1","870","1","385","","L_01140___25298","","","","","","","","","","","L_01017___45215","","","","","","","","","","","","",""
"group_2646","","hypothetical protein","2","2","1","1","344","113","3","","L_01195___25412","","","","","","","","L_00408___31604","","","","","","","","","","","","","","","",""
"group_2790","","head-tail adaptor protein","2","2","1","1","829","1","400","","","","","","","","L_01624___30282","","","L_01515___38086","","","","","","","","","","","","","","",""
"group_2805","","Fic/DOC family protein","2","2","1","1","3249","1","759","","","","","","","","","L_00312","","","","","","","","","","","","L_00304___4365","","","","",""
"group_2806","","hypothetical protein","2","2","1","1","3296","1","751","","","","","","","","","L_00329","","","","","","","","","","","","L_00326___4409","","","","",""
"group_2807","","hypothetical protein","2","2","1","1","3297","1","752","","","","","","","","","L_00330","","","","","","","","","","","","L_00327___4411","","","","",""
"group_2808","","hypothetical protein","2","2","1","1","3298","1","753","","","","","","","","","L_00331","","","","","","","","","","","","L_00328___4413","","","","",""
"group_2809","","addiction module toxin RelE","2","2","1","1","3300","1","755","","","","","","","","","L_00333","","","","","","","","","","","","L_00330___4417","","","","",""
"group_2810","","hypothetical protein","2","2","1","1","3273","1","750","","","","","","","","","L_00335","","","","","","","","","","","","L_00332___4421","","","","",""
"virD2","","T-DNA border endonuclease virD2","2","2","1","1","3272","1","749","","","","","","","","","L_00336","","","","","","","","","","","","L_00333___4423","","","","",""
"group_2812","","transposase IS200 like family protein","2","2","1","1","3271","1","748","","","","","","","","","L_00337","","","","","","","","","","","","L_00334___4425","","","","",""
"group_2813","","hypothetical protein","2","2","1","1","3269","1","746","","","","","","","","","L_00339","","","","","","","","","","","","L_00336___4429","","","","",""
"mazF","","mRNA interferase MazF","2","2","1","1","3268","1","745","","","","","","","","","L_00340","","","","","","","","","","","","L_00337___4431","","","","",""
"chpS","","Antitoxin ChpS","2","2","1","1","3267","1","744","","","","","","","","","L_00341","","","","","","","","","","","","L_00338___4433","","","","",""
"group_2816","","hypothetical protein","2","2","1","1","100","40","6","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","","","","","","","","L_00648","","","","","","","","","","","","","","L_00639___87576","","",""
"group_2819","","hypothetical protein","2","2","1","1","593","1","390","","","","","","","","","L_00934","L_00475___31744","","","","","","","","","","","","","","","",""
"group_2821","","tRNA_anti-like protein","2","2","1","1","602","1","437","","","","","","","","","L_00940","","","L_00972___41363","","","","","","","","","","","","","",""
"group_2846","","hypothetical protein","2","2","1","1","781","1","560","","","","","","","","","","L_00485___31764","","","","","","","","","","","","","","","L_00365___12081",""
"group_2852","","putative membrane protein","2","2","1","1","2672","1","240","","","","","","","","","","L_00677___32159","","L_00760___40927","","","","","","","","","","","","","",""
"group_2982","","hypothetical protein","2","2","1","1","2657","1","263","","","","","","","","","","","L_01534___38124","","","","","","","L_01595___50238","","","","","","","",""
"group_2983","","hypothetical protein","2","2","1","1","2658","1","264","","","","","","","","","","","L_01535___38126","","","","","","","L_01596___50240","","","","","","","",""
"group_2984","","hypothetical protein","2","2","1","1","2659","1","265","","","","","","","","","","","L_01536___38128","","","","","","","L_01597___50242","","","","","","","",""
"group_2985","","hypothetical protein","2","2","1","1","2660","1","266","","","","","","","","","","","L_01537___38130","","","","","","","L_01598___50244","","","","","","","",""
"group_2987","","Prophage CP4-57 regulatory protein (AlpA)","2","2","1","1","3079","1","245","","","","","","","","","","","L_01544___38144","","","","","","","L_01604___50256","","","","","","","",""
"group_2994","","hypothetical protein","2","2","1","1","816","1","469","","","","","","","","","","","L_01602___38262","","","","","","","","","","","","","","L_00356___12063",""
"group_2996","","hypothetical protein","2","2","1","1","775","1","463","","","","","","","","","","","L_01606___38270","","","","","","","","","","","","","","L_00361___12073",""
"group_3006","","hypothetical protein","2","2","1","1","1013","1","496","","","","","","","","","","","L_01627___38314","","","","","","","","","","","","","","L_00386___12124",""
"group_3007","","Phage integrase family protein","2","2","1","1","1014","1","495","","","","","","","","","","","L_01628___38316","","","","","","","","","","","","","","L_00387___12126",""
"group_3015","","hypothetical protein","2","2","1","1","2695","1","371","","","","","","","","","","","","L_00765___40937","","","","","","","","","L_00815___5415","","","","",""
"group_3022","","type I restriction modification DNA specificity domain protein","2","2","1","1","1449","9","3","","L_00454___23886","","","","","","","","","","","L_00337___43814","","","","","","","","","","","","",""
"group_3065","","hypothetical protein","2","2","1","1","802","1","515","","","","","","","","","","","","","","","","","","L_01261___49545","","","","","","","L_00368___12087",""
"group_3084","","hypothetical protein","2","2","1","1","1303","124","3","","","","","","","","","","","","","","","","","","","","","","","L_00482___87251","","","L_00461___52288"
"ftsA_1","","cell division protein FtsA","1","1","1","1","3162","20","5","","L_00155___23273","","","","","","","","","","","","","","","","","","","","","","","",""
"group_2564","","malate dehydrogenase","1","1","1","1","2603","219","2","","L_00395___23767","","","","","","","","","","","","","","","","","","","","","","","",""
"group_2565","","malate dehydrogenase","1","1","1","1","2602","219","1","","L_00396___23769","","","","","","","","","","","","","","","","","","","","","","","",""
"thiF_2","","Sulfur carrier protein ThiS adenylyltransferase","1","1","1","1","83","30","4","","L_00779___24561","","","","","","","","","","","","","","","","","","","","","","","",""
"group_2595","","hypothetical protein","1","1","1","1","2916","305","1","","L_00866___24737","","","","","","","","","","","","","","","","","","","","","","","",""
"group_2623","","hypothetical protein","1","1","1","1","2759","1","763","","L_00917___24840","","","","","","","","","","","","","","","","","","","","","","","",""
"afeA_1","","chelated iron ABC transporter substrate binding protein AfeA","1","1","1","1","2409","131","4","","L_01597___26249","","","","","","","","","","","","","","","","","","","","","","","",""
"afeB_1","","chelated iron ABC transporter ATPase subunit AfeB","1","1","1","1","2410","131","5","","L_01598___26251","","","","","","","","","","","","","","","","","","","","","","","",""
"afeB_2","","chelated iron ABC transporter ATPase subunit AfeB","1","1","1","1","2411","131","8","","L_01599___26253","","","","","","","","","","","","","","","","","","","","","","","",""
"group_2676","","GIY-YIG nuclease superfamily protein","1","1","1","1","2597","120","3","","L_01601___26257","","","","","","","","","","","","","","","","","","","","","","","",""
"group_2743","","hypothetical protein","1","1","1","1","3095","1","716","","","","","","L_00027___78446","","","","","","","","","","","","","","","","","","","",""
"group_2779","","hypothetical protein","1","1","1","1","721","366","1","","","","","","","","L_00162___27262","","","","","","","","","","","","","","","","","",""
"group_2781","","hypothetical protein","1","1","1","1","499","343","1","","","","","","","","L_01386___29794","","","","","","","","","","","","","","","","","",""
"group_2782","","integrase","1","1","1","1","1842","1","302","","","","","","","","L_01602___30238","","","","","","","","","","","","","","","","","",""
"group_2783","","hypothetical protein","1","1","1","1","1841","1","303","","","","","","","","L_01603___30240","","","","","","","","","","","","","","","","","",""
"group_2784","","hypothetical protein","1","1","1","1","2664","1","246","","","","","","","","L_01606___30246","","","","","","","","","","","","","","","","","",""
"group_2785","","hypothetical protein","1","1","1","1","2662","1","268","","","","","","","","L_01608___30250","","","","","","","","","","","","","","","","","",""
"group_2786","","hypothetical protein","1","1","1","1","2661","1","267","","","","","","","","L_01609___30252","","","","","","","","","","","","","","","","","",""
"group_2796","","hypothetical protein","1","1","1","1","3091","1","688","","","","","","","","L_01648___30332","","","","","","","","","","","","","","","","","",""
"group_2797","","hypothetical protein","1","1","1","1","3090","1","687","","","","","","","","L_01649___30334","","","","","","","","","","","","","","","","","",""
"group_2820","","hypothetical protein","1","1","1","1","533","1","392","","","","","","","","","L_00936","","","","","","","","","","","","","","","","",""
"group_2822","","BRO family protein","1","1","1","1","601","1","426","","","","","","","","","L_00941","","","","","","","","","","","","","","","","",""
"group_2823","","hypothetical protein","1","1","1","1","528","1","386","","","","","","","","","L_00946","","","","","","","","","","","","","","","","",""
"group_2824","","hypothetical protein","1","1","1","1","882","1","203","","","","","","","","","L_01109","","","","","","","","","","","","","","","","",""
"hicA","","putative mRNA interferase HicA","1","1","1","1","883","1","645","","","","","","","","","L_01111","","","","","","","","","","","","","","","","",""
"group_2826","","phage minor tail protein L","1","1","1","1","318","1","218","","","","","","","","","L_01114","","","","","","","","","","","","","","","","",""
"group_2827","","hypothetical protein","1","1","1","1","808","1","568","","","","","","","","","L_01134","","","","","","","","","","","","","","","","",""
"group_2828","","Zinc-binding domain of primase-helicase","1","1","1","1","806","1","490","","","","","","","","","L_01136","","","","","","","","","","","","","","","","",""
"group_2833","","hypothetical protein","1","1","1","1","3394","141","1","","","","","","","","","L_01206","","","","","","","","","","","","","","","","",""
"group_2834","","hypothetical protein","1","1","1","1","1595","98","5","","","","","","","","","L_01691","","","","","","","","","","","","","","","","",""
"group_2835","","hypothetical protein","1","1","1","1","1596","98","4","","","","","","","","","L_01692","","","","","","","","","","","","","","","","",""
"purD_1","","phosphoribosylamine-glycine ligase","1","1","1","7","1","154","4","","","","","","","","","","L_00001___30757","","","","","","","","","","","","","","","",""
"ykoC","","Putative HMP/thiamine permease protein YkoC","1","1","1","7","2","154","5","","","","","","","","","","L_00002___30759","","","","","","","","","","","","","","","",""
"group_2839","","macrolide transporter","1","1","1","7","6","154","6","","","","","","","","","","L_00003___30761","","","","","","","","","","","","","","","",""
"group_2840","","hypothetical protein","1","1","1","7","5","154","3","","","","","","","","","","L_00004___30763","","","","","","","","","","","","","","","",""
"group_2841","","putrescine/spermidine ABC transporter ATP-binding protein","1","1","1","7","4","154","2","","","","","","","","","","L_00005___30765","","","","","","","","","","","","","","","",""
"ykoE","","Putative HMP/thiamine permease protein YkoE","1","1","1","7","3","154","1","","","","","","","","","","L_00006___30767","","","","","","","","","","","","","","","",""
"group_2854","","AAA domain protein","1","1","1","1","2670","1","363","","","","","","","","","","L_00679___32163","","","","","","","","","","","","","","","",""
"group_2856","","hypothetical protein","1","1","1","1","2669","1","242","","","","","","","","","","L_00685___32175","","","","","","","","","","","","","","","",""
"group_2857","","hypothetical protein","1","1","1","1","2668","1","355","","","","","","","","","","L_00686___32178","","","","","","","","","","","","","","","",""
"group_2858","","hypothetical protein","1","1","1","1","3073","1","356","","","","","","","","","","L_00687___32180","","","","","","","","","","","","","","","",""
"group_2859","","Conjugal transfer protein","1","1","1","1","2808","1","157","","","","","","","","","","L_00701___32208","","","","","","","","","","","","","","","",""
"virB8","","Type IV secretion system protein virB8","1","1","1","1","2807","1","156","","","","","","","","","","L_00702___32211","","","","","","","","","","","","","","","",""
"group_2861","","hypothetical protein","1","1","1","1","2806","1","155","","","","","","","","","","L_00703___32213","","","","","","","","","","","","","","","",""
"group_2862","","TrbL/VirB6 plasmid conjugal transfer protein","1","1","1","1","2765","1","154","","","","","","","","","","L_00704___32215","","","","","","","","","","","","","","","",""
"group_2863","","TrbL/VirB6 plasmid conjugal transfer protein","1","1","1","1","2766","1","104","","","","","","","","","","L_00705___32217","","","","","","","","","","","","","","","",""
"virB5","","Type IV secretion system protein virB5 precursor","1","1","1","1","2767","1","105","","","","","","","","","","L_00706___32219","","","","","","","","","","","","","","","",""
"virB4_1","","Type IV secretion system protein virB4","1","1","1","1","2768","1","106","","","","","","","","","","L_00707___32222","","","","","","","","","","","","","","","",""
"virB4_2","","Type IV secretion system protein virB4","1","1","1","1","2769","1","107","","","","","","","","","","L_00708___32224","","","","","","","","","","","","","","","",""
"group_2867","","Initiator Replication protein","1","1","1","1","2770","1","108","","","","","","","","","","L_00709___32226","","","","","","","","","","","","","","","",""
"group_2868","","hypothetical protein","1","1","1","1","2771","1","109","","","","","","","","","","L_00710___32228","","","","","","","","","","","","","","","",""
"group_2869","","hypothetical protein","1","1","1","1","2772","1","110","","","","","","","","","","L_00711___32230","","","","","","","","","","","","","","","",""
"group_2870","","cytoplasmic protein","1","1","1","1","2773","1","111","","","","","","","","","","L_00712___32232","","","","","","","","","","","","","","","",""
"group_2871","","hypothetical protein","1","1","1","1","2774","1","112","","","","","","","","","","L_00713___32234","","","","","","","","","","","","","","","",""
"group_2872","","hypothetical protein","1","1","1","1","2775","1","113","","","","","","","","","","L_00714___32236","","","","","","","","","","","","","","","",""
"group_2873","","hypothetical protein","1","1","1","1","2776","1","114","","","","","","","","","","L_00715___32238","","","","","","","","","","","","","","","",""
"group_2874","","hypothetical protein","1","1","1","1","2777","1","115","","","","","","","","","","L_00716___32240","","","","","","","","","","","","","","","",""
"group_2875","","hypothetical protein","1","1","1","1","2778","1","116","","","","","","","","","","L_00717___32242","","","","","","","","","","","","","","","",""
"group_2876","col_1","Colicin-E9","1","1","1","1","2901","1","70","","","","","","","","","","L_00750___32309","","","","","","","","","","","","","","","",""
"group_2889","","hypothetical protein","1","1","1","8","1","155","1","","","","","","","","","","L_01759___34391","","","","","","","","","","","","","","","",""
"group_2890","","hypothetical protein","1","1","1","8","2","155","2","","","","","","","","","","L_01760___34393","","","","","","","","","","","","","","","",""
"group_2891","","hypothetical protein","1","1","1","8","3","155","3","","","","","","","","","","L_01761___34395","","","","","","","","","","","","","","","",""
"group_2892","","hypothetical protein","1","1","1","8","4","155","4","","","","","","","","","","L_01762___34397","","","","","","","","","","","","","","","",""
"group_2893","","hypothetical protein","1","1","1","8","6","155","6","","","","","","","","","","L_01763___34399","","","","","","","","","","","","","","","",""
"group_2894","","hypothetical protein","1","1","1","8","5","155","5","","","","","","","","","","L_01764___34401","","","","","","","","","","","","","","","",""
"group_2895","","ABC transporter ATP-binding protein","1","1","1","10","5","165","3","","","","","","","","","","L_01765___34403","","","","","","","","","","","","","","","",""
"group_2896","","DEAD/DEAH box helicase","1","1","1","10","4","165","4","","","","","","","","","","L_01766___34405","","","","","","","","","","","","","","","",""
"cysA_2","","sulfate ABC transporter ATP-binding protein CysA","1","1","1","10","3","165","5","","","","","","","","","","L_01767___34407","","","","","","","","","","","","","","","",""
"yehW_2","","Putative osmoprotectant uptake system permease protein yehW","1","1","1","10","2","165","2","","","","","","","","","","L_01768___34409","","","","","","","","","","","","","","","",""
"group_2899","","aspartate aminotransferase","1","1","1","10","1","165","1","","","","","","","","","","L_01769___34411","","","","","","","","","","","","","","","",""
"sau3AIR","","Type-2 restriction enzyme Sau3AI","1","1","1","5","5","127","8","","","","","","","","","","L_01770___34413","","","","","","","","","","","","","","","",""
"group_2901","","modification methylase","1","1","1","5","6","127","9","","","","","","","","","","L_01771___34415","","","","","","","","","","","","","","","",""
"group_2902","","hypothetical protein","1","1","1","5","7","127","7","","","","","","","","","","L_01772___34417","","","","","","","","","","","","","","","",""
"group_2903","","hypothetical protein","1","1","1","5","8","127","6","","","","","","","","","","L_01773___34419","","","","","","","","","","","","","","","",""
"group_2904","","NAD(P)-dependent oxidoreductase","1","1","1","5","9","127","5","","","","","","","","","","L_01774___34421","","","","","","","","","","","","","","","",""
"group_2905","","acetylornithine deacetylase","1","1","1","5","4","127","4","","","","","","","","","","L_01775___34423","","","","","","","","","","","","","","","",""
"group_2906","","RNA degradosome polyphosphate kinase","1","1","1","5","3","127","3","","","","","","","","","","L_01776___34425","","","","","","","","","","","","","","","",""
"group_2907","","exopolyphosphatase","1","1","1","5","2","127","2","","","","","","","","","","L_01777___34427","","","","","","","","","","","","","","","",""
"group_2908","","3-hydroxybutyrate dehydrogenase","1","1","1","5","1","127","1","","","","","","","","","","L_01778___34429","","","","","","","","","","","","","","","",""
"group_2909","","50S ribosomal protein L31","1","1","1","11","2","175","3","","","","","","","","","","L_01779___34431","","","","","","","","","","","","","","","",""
"group_2910","","hypothetical protein","1","1","1","11","3","175","4","","","","","","","","","","L_01780___34433","","","","","","","","","","","","","","","",""
"group_2911","","hypothetical protein","1","1","1","11","4","175","2","","","","","","","","","","L_01781___34435","","","","","","","","","","","","","","","",""
"group_2912","","betaine-aldehyde dehydrogenase","1","1","1","11","1","175","1","","","","","","","","","","L_01782___34437","","","","","","","","","","","","","","","",""
"nhaC_2","","Na( )/H( ) antiporter NhaC","1","1","1","4","1","126","9","","","","","","","","","","L_01783___34439","","","","","","","","","","","","","","","",""
"ssaA","","Staphylococcal secretory antigen SsaA precursor","1","1","1","4","2","126","10","","","","","","","","","","L_01784___34441","","","","","","","","","","","","","","","",""
"group_2915","","hypothetical protein","1","1","1","4","3","126","8","","","","","","","","","","L_01785___34444","","","","","","","","","","","","","","","",""
"group_2916","","Helix-turn-helix domain protein","1","1","1","4","4","126","7","","","","","","","","","","L_01786___34446","","","","","","","","","","","","","","","",""
"group_2917","","hypothetical protein","1","1","1","4","5","126","6","","","","","","","","","","L_01787___34448","","","","","","","","","","","","","","","",""
"sarU","","HTH-type transcriptional regulator SarU","1","1","1","4","10","126","5","","","","","","","","","","L_01788___34450","","","","","","","","","","","","","","","",""
"group_2919","","hypothetical protein","1","1","1","4","9","126","4","","","","","","","","","","L_01789___34452","","","","","","","","","","","","","","","",""
"sarR","","HTH-type transcriptional regulator SarR","1","1","1","4","8","126","3","","","","","","","","","","L_01790___34454","","","","","","","","","","","","","","","",""
"ureD1","","Urease accessory protein UreD","1","1","1","4","7","126","2","","","","","","","","","","L_01791___34456","","","","","","","","","","","","","","","",""
"group_2922","","urease accessory protein UreG","1","1","1","4","6","126","1","","","","","","","","","","L_01792___34458","","","","","","","","","","","","","","","",""
"group_2923","","hypothetical protein","1","1","1","6","7","140","5","","","","","","","","","","L_01793___34460","","","","","","","","","","","","","","","",""
"group_2924","","putrescine/spermidine ABC transporter","1","1","1","6","6","140","6","","","","","","","","","","L_01794___34462","","","","","","","","","","","","","","","",""
"group_2925","","30S ribosomal protein S14","1","1","1","6","4","140","4","","","","","","","","","","L_01796___34466","","","","","","","","","","","","","","","",""
"group_2926","guaB_2","inosine-5'-monophosphate dehydrogenase","1","1","1","6","3","140","3","","","","","","","","","","L_01797___34468","","","","","","","","","","","","","","","",""
"group_2927","","hypothetical protein","1","1","1","6","2","140","2","","","","","","","","","","L_01798___34470","","","","","","","","","","","","","","","",""
"group_2928","","Cysteine-rich secretory protein family protein","1","1","1","6","1","140","1","","","","","","","","","","L_01799___34472","","","","","","","","","","","","","","","",""
